"","orig.ident","nCount_RNA","nFeature_RNA","percent_mt","percent_ERCC","S.Score","G2M.Score","Phase","old.ident"
"PIABCA","XRA",2020496,2922,6.47152976298889,0.0820095659679603,-0.00219608041764854,0.0272315008100359,"G2M","XRA"
"BDBBNU","XRA",2018454,2096,9.39020656403366,0.00614331562671233,0.00569198016577715,-0.040029584891921,"S","XRA"
"SBALES","XRA",439369,966,5.17105212247564,0,-0.0515347056928585,0.0846611989064541,"G2M","XRA"
"SXIZZB","XRA",2029704,1933,13.6293765002188,0,-0.0403563518819713,-0.0365404989843682,"G1","XRA"
"XVSHNL","XRA",417425,944,9.48889021979996,0,-0.0441560138520895,-0.0424734719237301,"G1","XRA"
"YMWIFX","XRA",851960,2149,5.80203295929386,0,-0.00547768631849273,0.009958155530937,"G2M","XRA"
"BKLKRT","XRA",688770,2077,6.13470389244595,0,0.0194197424090263,-0.0403775425970569,"S","XRA"
"XVCEQW","XRA",48970,350,5.27261588727792,0,-0.0260866190040959,0.0673680962550035,"G2M","XRA"
"PGWEMA","XRA",1543997,1686,4.9171727665274,0.0362047335584201,-0.0346295021241363,-0.0963810145660027,"G1","XRA"
"JXZTZO","XRA",2983435,2566,3.72084526728419,0.0127369961135403,-0.077363393241889,0.0501304512672843,"G2M","XRA"
"SUDEZK","XRA",1138282,2204,3.0269300577537,0,-0.0742868659075408,-0.0614515904446475,"G1","XRA"
"EMOIZN","XRA",2946607,2859,13.2414672197548,0,0.044211045959861,0.016995103273088,"S","XRA"
"DLQFDU","XRA",65884,937,3.82035091979843,0.00151781919737721,0.0142317460489683,-0.0621565564689224,"S","XRA"
"VRYNCZ","XRA",2621959,2464,7.75065513991638,0,0.0716834135041016,-0.0214949392374712,"S","XRA"
"KXWHDG","XRA",1810174,1768,4.56431260199296,0,-0.020075381177726,-0.0355413762833466,"G1","XRA"
"AVEVET","XRA",1590846,2145,10.403081127903,0.00251438542762782,0.107991738191585,-0.0810131666059844,"S","XRA"
"NHISPM","XRA",1279904,1760,12.9362045903443,0,-0.0292275884593269,-0.064276776637747,"G1","XRA"
"IZQFJN","XRA",2277021,2531,10.5394284901193,0.0464203009107075,-0.0666420606651021,-0.0418718778397689,"G1","XRA"
"EKPIMY","XRA",1495992,1648,5.11921186744314,0,-0.0572324809399469,-0.0236248494594664,"G1","XRA"
"XNSAJK","XRA",566117,991,7.17077918522143,0,-0.054022599816848,0.0245056815218387,"G2M","XRA"
"NCXKMS","XRA",396650,1694,3.73276188075129,0,0.000548733575597857,0.00201255088391107,"G2M","XRA"
"GHSUAO","XRA",1089590,1373,10.4385135693242,0.000825998770179609,0.10769541222694,-0.0546646279156471,"S","XRA"
"DQJKYJ","XRA",1725386,1280,3.54001945072001,0.000405706317311025,0.090219806518061,-0.0363276299358489,"S","XRA"
"ITHUCU","XRA",2328269,2648,3.36984257403247,0.042177257009392,-0.0293164955121772,0.000388240783168112,"G2M","XRA"
