"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PICALM",6.38434285382181e-47,1.13401318485214,0.475,0.177,2.72866813572344e-42,"2","PICALM"
"STXBP1",9.06024792204008e-47,2.18002886761443,0.273,0.067,3.87234996187993e-42,"2","STXBP1"
"PARVB",9.94204513188285e-47,1.42159681350474,0.304,0.08,4.24923008936673e-42,"2","PARVB"
"FRY",1.41904571893081e-46,0.942674718283221,0.315,0.085,6.06500140271029e-42,"2","FRY"
"SNRPB1",1.64036425219748e-46,0.926683602979568,0.696,0.344,7.01091681389201e-42,"2","SNRPB"
"HSP90AB1",1.75543992648653e-46,0.670699574549439,0.971,0.83,7.50275024580342e-42,"2","HSP90AB1"
"GNAQ",1.84701874521913e-46,1.0413306437481,0.466,0.17,7.89415811706658e-42,"2","GNAQ"
"TFPI1",2.50066714950377e-46,0.299361828686004,0.865,0.426,1.06878513969791e-41,"2","TFPI"
"BCL10",4.68148565519508e-46,1.11835209342677,0.497,0.194,2.00086696903038e-41,"2","BCL10"
"SERTAD11",4.97059661813637e-46,0.916786557763363,0.725,0.362,2.12443299459149e-41,"2","SERTAD1"
"GNG5",5.19636162007393e-46,0.901447171916741,0.714,0.366,2.2209249564196e-41,"2","GNG5"
"OTUD4",6.7573783786345e-46,0.958364599741498,0.335,0.096,2.88810351902838e-41,"2","OTUD4"
"NME1",1.18159546056152e-45,1.75830196033131,0.357,0.11,5.05013899843993e-41,"2","NME1"
"POLE4",1.39189194249505e-45,0.943521933643007,0.406,0.135,5.94894616222386e-41,"2","POLE4"
"CXCL2",2.51261848693451e-45,1.16639829468387,0.692,0.351,1.07389314131581e-40,"2","CXCL2"
"RAB5C",2.58469679165386e-45,1.10840402000004,0.561,0.245,1.10469940875286e-40,"2","RAB5C"
"FLOT1",5.35546090781727e-45,1.45651972580654,0.419,0.15,2.2889239920011e-40,"2","FLOT1"
"WDR43",6.28511076050823e-45,1.15151082141577,0.508,0.208,2.68625633904122e-40,"2","WDR43"
"RBPMS",8.58709549708321e-45,0.841790261891406,0.441,0.156,3.67012461545337e-40,"2","RBPMS"
"CCDC69",2.43353626273038e-44,1.06555659347293,0.304,0.082,1.04009339869096e-39,"2","CCDC69"
"ARL2",3.39197094186522e-44,1.30586078896755,0.463,0.179,1.44972838055319e-39,"2","ARL2"
"DDX581",4.03702585168543e-44,1.16999583885887,0.421,0.148,1.72542484901035e-39,"2","DDX58"
"PFDN2",5.82066540591743e-44,0.997790282279728,0.572,0.251,2.48775239448911e-39,"2","PFDN2"
"PARP14",7.30056152528475e-44,0.828997410495008,0.477,0.186,3.1202599959067e-39,"2","PARP14"
